Sample_ID	N1	N1_spike	RPP30	S2	S2_spike
Plate1-O23	135675	2887	55	33	0
Plate1-O24	294049	4703	59	0	0
Plate1-P01	6554	42496	132	0	0
Plate1-P02	1986	80544	8	0	0
Plate1-P03	35	144821	12	0	0
Plate1-P04	59	42849	0	0	0
Plate1-P05	2267	111918	3	0	0
Plate1-P06	127	71412	1	0	0
Plate1-P07	465	19086	6	0	0
Plate1-P08	92	15794	1	0	0
Plate1-P09	1095	31134	4	0	0
Plate1-P10	110	10944	0	0	0
Plate1-P11	29925	93893	82	0	0
Plate1-P12	7876	68631	8	0	0
Plate1-P13	97660	75147	12	1	0
Plate1-P14	8906	78852	2	0	0
Plate1-P15	164896	104327	31	0	0
Plate1-P16	49679	59542	4	0	0
Plate1-P17	128738	16670	16	1	0
Plate1-P18	38583	43491	1	0	0
Plate1-P19	70489	4914	36	1	0
Plate1-P20	36408	11436	3	0	0
Plate1-P21	79419	1508	26	3	0
Plate1-P22	75937	14940	4	2	0
Plate1-P23	141453	1397	25	1	0
Plate1-P24	78306	4605	2	0	0
Plate2-A01	0	0	2	1625	106
Plate2-A02	0	0	4	7089	580
Plate2-A03	0	0	3	3407	369
Plate2-A04	0	0	2	21461	1207
Plate2-A05	0	0	570	3668	386
Plate2-A06	0	0	283	11953	1583
Plate2-A07	0	0	7	2243	347
Plate2-A08	0	0	43	16404	3415
Plate2-A09	0	0	16	6087	475
Plate2-A10	0	0	16	26202	2270
Plate2-A11	0	0	0	528	38
Plate2-A12	0	0	2	5691	656
Plate2-A13	0	0	9	2722	302
Plate2-A14	0	0	7	3201	277
Plate2-A15	0	0	1	1955	75
Plate2-A16	0	0	5	2041	234
Plate2-A17	0	0	2	6429	536
Plate2-A18	0	0	8	14658	853
Plate2-A19	0	0	1	4124	54
Plate2-A20	0	0	1	2378	48
Plate2-A21	0	0	18	32413	80
Plate2-A22	0	0	18	92498	238
Plate2-A23	4	0	28	277827	34
Plate2-A24	0	0	32	484347	46
Plate2-B01	0	0	11	3096	160
Plate2-B02	0	0	11	17653	2178
Plate2-B03	0	0	4	1019	370
Plate2-B04	0	0	4	10069	780
Plate2-B05	0	0	433	1225	142
Plate2-B06	0	0	648	4544	415
Plate2-B07	0	0	61	428	186
Plate2-B08	0	0	63	3812	393
Plate2-B09	0	0	6	750	140
Plate2-B10	0	0	27	8578	1020
Plate2-B11	0	0	0	177	26
Plate2-B12	0	0	4	6613	487
Plate2-B13	0	0	6	350	27
Plate2-B14	0	0	7	6958	781
Plate2-B15	0	0	3	194	21
Plate2-B16	0	0	5	5044	555
Plate2-B17	1	1	5	617	79
Plate2-B18	0	0	5	22652	2044
Plate2-B19	0	0	3	2956	44
Plate2-B20	0	0	0	3039	58
Plate2-B21	0	0	12	11564	36
Plate2-B22	0	0	10	145177	423
Plate2-B23	4	0	39	382540	408
Plate2-B24	2	1	42	470578	45
Plate2-C01	0	0	8	1179	100
Plate2-C02	0	0	6	2872	392
Plate2-C03	0	0	2	3764	313
Plate2-C04	0	0	5	4681	746
Plate2-C05	0	0	16	5498	391
Plate2-C06	0	0	26	3918	295
Plate2-C07	0	0	3	2437	120
Plate2-C08	0	0	4	9863	1659
Plate2-C09	0	0	2	755	50
Plate2-C10	0	0	5	4048	272
Plate2-C11	0	0	27	5658	655
Plate2-C12	0	0	34	20126	2242
Plate2-C13	0	0	793	3781	228
Plate2-C14	0	0	7966	16070	1004
Plate2-C15	0	0	4	4204	250
Plate2-C16	0	0	5	6080	670
Plate2-C17	0	0	76	3168	162
Plate2-C18	0	0	124	22654	1411
Plate2-C19	1	1	9	8414	129
Plate2-C20	0	0	7	21756	399
Plate2-C21	2	0	10	52139	100
Plate2-C22	0	0	2	133839	391
Plate2-C23	5	1	11	231550	40
Plate2-C24	0	0	17	450871	49
Plate2-D01	0	0	12	759	129
Plate2-D02	0	0	12	1939	129
Plate2-D03	0	0	8	884	28
Plate2-D04	0	0	5	13330	744
Plate2-D05	0	0	24	454	48
Plate2-D06	0	0	24	13466	905
Plate2-D07	0	0	4	608	65
Plate2-D08	0	0	6	15151	1211
Plate2-D09	0	0	3	360	32
Plate2-D10	0	0	8	10369	1179
Plate2-D11	0	0	23	3746	407
Plate2-D12	0	1	101	14450	2182
Plate2-D13	0	0	10464	2338	151
Plate2-D14	0	0	8139	8074	560
Plate2-D15	1	0	7	578	51
Plate2-D16	0	0	7	3300	276
Plate2-D17	0	0	132	775	73
Plate2-D18	0	0	53	6306	435
Plate2-D19	0	0	7	1271	54
Plate2-D20	0	0	12	51722	634
Plate2-D21	2	0	4	27749	71
Plate2-D22	1	0	7	77420	231
Plate2-D23	8	0	24	318801	16
Plate2-D24	2	0	22	432595	24
Plate2-E01	0	0	7	351	124
Plate2-E02	0	0	11	3374	1398
Plate2-E03	0	0	5	184	25
Plate2-E04	0	0	0	2134	261
Plate2-E05	0	0	2	213	47
Plate2-E06	0	0	1	451	344
Plate2-E07	0	0	0	186	39
Plate2-E08	0	0	2	3499	1473
Plate2-E09	0	0	3	544	176
Plate2-E10	0	0	7	1711	439
Plate2-E11	0	0	12482	255	332
Plate2-E12	0	0	11424	1680	1006
Plate2-E13	0	0	5	304	66
Plate2-E14	0	0	1	912	322
Plate2-E15	0	0	7	783	226
Plate2-E16	0	0	9	444	224
Plate2-E17	0	0	18	141	64
Plate2-E18	0	0	21	986	664
Plate2-E19	0	0	1770	362	95
Plate2-E20	0	0	1650	1377	597
Plate2-E21	0	0	9	219	61
Plate2-E22	0	0	13	1566	583
Plate2-E23	0	0	7	219	5821
Plate2-E24	0	0	8	1382	6346
Plate2-F01	0	0	13	163	60
Plate2-F02	0	0	10	2143	520
Plate2-F03	0	0	2	2143	192
Plate2-F04	0	0	12	3270	548
Plate2-F05	0	0	5	79	31
Plate2-F06	0	0	2	2162	655
Plate2-F07	0	0	5	160	50
Plate2-F08	0	0	1	1058	346
Plate2-F09	0	0	9	125	54
Plate2-F10	0	0	3	966	226
Plate2-F11	0	0	9362	152	164
Plate2-F12	0	0	12602	1065	359
Plate2-F13	0	0	6	158	29
Plate2-F14	0	0	9	1683	612
Plate2-F15	0	0	7	67	16
Plate2-F16	0	0	12	778	212
Plate2-F17	0	1	46	47	37
Plate2-F18	0	0	65	295	150
Plate2-F19	0	0	1403	258	104
Plate2-F20	0	0	2282	1411	407
Plate2-F21	0	0	15	50	75
Plate2-F22	0	0	8	431	170
Plate2-F23	0	0	11	163	4604
Plate2-F24	0	0	16	1541	406
Plate2-G01	0	1	2	399	6095
Plate2-G02	0	0	9	795	6818
Plate2-G03	0	0	4	110	60
Plate2-G04	0	0	6	1350	452
Plate2-G05	0	0	22	17408	3139
Plate2-G06	0	0	38	2021	969
Plate2-G07	0	1	10	581	201
Plate2-G08	0	0	8	1559	515
Plate2-G09	0	0	1	186	30
Plate2-G10	0	0	1	1569	580
Plate2-G11	0	0	0	1674	500
Plate2-G12	0	0	4	8074	1586
Plate2-G13	0	0	8	2259	636
Plate2-G14	0	0	14	4448	1233
Plate2-G15	0	0	4	1420	351
Plate2-G16	0	1	11	2816	1024
Plate2-G17	0	0	14	310	119
Plate2-G18	0	0	55	881	415
Plate2-G19	0	0	0	2024	443
Plate2-G20	0	0	2	2130	698
Plate2-G21	0	0	9	1125	176
Plate2-G22	0	0	6	1853	626
Plate2-G23	0	0	8	570	5725
Plate2-G24	0	0	3	1557	6247
Plate2-H01	0	1	21	131	4634
Plate2-H02	0	0	11	894	377
Plate2-H03	0	0	2	314	231
Plate2-H04	0	1	4	1884	371
Plate2-H05	0	0	41	951	266
Plate2-H06	0	1	28	4762	1460
Plate2-H07	0	0	12	67	34
Plate2-H08	0	0	18	1791	537
Plate2-H09	0	0	2	325	66
Plate2-H10	0	0	1	895	182
Plate2-H11	0	0	3	73	84
Plate2-H12	0	0	3	654	260
Plate2-H13	0	0	16	291	226
Plate2-H14	0	0	9	2016	703
Plate2-H15	0	0	7	111	36
Plate2-H16	0	0	18	3821	1164
Plate2-H17	0	0	51	177	59
Plate2-H18	0	0	24	2521	813
Plate2-H19	0	0	4	80	26
Plate2-H20	0	0	3	1283	364
Plate2-H21	0	0	5	72	17
Plate2-H22	0	0	21	530	114
Plate2-H23	0	0	5	99	4256
Plate2-H24	0	0	5	566	242
Plate2-I01	0	0	34	0	267154
Plate2-I02	0	1	57	8	302052
Plate2-I03	0	0	33	0	42055
Plate2-I04	0	0	29	3	191610
Plate2-I05	0	3	24	353	69785
